Sr. No. (CCA),Sr. No. (instrument),Date,Year,Capital control action,Link to capital control instrument,Category,Asset Class,Ease/tightening,Remarks
1,1,21-09-2000,2000,Procedure for renewal of FII accounts and sub-accounts notified,https://www.sebi.gov.in/legal/circulars/sep-2000/renewal-of-registration-of-foreign-institutional-investors-and-sub-accounts_17582.html,Procedure,General,0,
2,2,13-02-2001,2001,FIIs allowed to invest in commercial paper,https://www.sebi.gov.in/legal/regulations/feb-2001/securities-and-exchange-board-of-india-foreign-institutional-investors-amendment-regulations-2001_17779.html,Investment Condition,Debt,1,
3,2,13-02-2001,2001,FIIs whose registration has expired/ not been renewed need specific approval of SEBI for disinvesting.,https://www.sebi.gov.in/legal/regulations/feb-2001/securities-and-exchange-board-of-india-foreign-institutional-investors-amendment-regulations-2001_17779.html,Eligibility,General,-1,
4,3,08-03-2001,2001,Increase in the ceiling for investment by FIIs from 40% to 49% with the approval of the shareholders through a special resolution in the General Body Meeting.,https://www.finmin.nic.in/sites/default/files/lahiricommreport.pdf,Investment Condition,General,1,"Legislative instrument not traceable. Cited on page 9, paragraph 21 of the source link. 
"
5,4,04-06-2001,2001,Procedure for disinvesting after expiry/non-renewal of registration notified,https://www.sebi.gov.in/legal/circulars/jun-2001/clarifications-regarding-investment-by-foreign-institutional-investors_13485.html,Procedure,General,0,
6,5,20-09-2001,2001,"Indian companies permitted to increase the FII investment limit up to the sectoral cap/statutory ceiling, as applicable.",https://www.finmin.nic.in/sites/default/files/lahiricommreport.pdf,Investment Condition,General,1,"Legislative instrument not traceable. Cited page 9, paragraph 21 of the source link."
7,6,31-10-2001,2001,Issuance of derivatives by FIIs are to be reported to SEBI on a monthly basis,https://www.sebi.gov.in/legal/circulars/oct-2001/issuance-of-derivative-instruments-by-registered-foreign-institutional-investors-fii-_17948.html,Procedure,Derivatives,-1,
8,7,04-02-2002,2002,FIIs permited to trade in all the exchange traded derivative contracts subject to the position limits to be issued by SEBI,https://www.sebi.gov.in/legal/circulars/feb-2002/scheme-of-fii-trading-in-all-exchange-traded-derivative-contracts_16138.html,Investment Condition,Derivatives,1,"Legislative instrument not traceable. Cited the instrument available at the source link
"
9,8,12-02-2002,2002,Position limits specified for trading in exchange traded derivatives by FIIs,https://www.sebi.gov.in/legal/circulars/feb-2002/scheme-of-fii-trading-in-all-exchange-traded-derivative-contracts_16138.html,Investment Condition,Derivatives,0,"Since the circular eases the requirements for FPIs with small exposure, but tightens it for FPIs with large exposure, we score it as 0."
10,9,15-05-2002,2002,Write off of securities to require prior approval of SEBI,https://www.sebi.gov.in/legal/circulars/may-2002/reporting-of-write-off-of-securities-held-by-foreign-institutional-investors-and-sub-accounts_16228.html,Investment Condition,General,-1,
11,10,19-07-2002,2002,Reporting mechanism to provide for reporting of buybacks and write offs,https://www.sebi.gov.in/legal/circulars/jul-2002/clarifications-regarding-operations-of-foreign-institutional-investors_16443.html,Procedure,General,0,
12,11,10-12-2002,2002,Registration process for FIIs simplified requiring lesser documentation.,https://www.sebi.gov.in/media/press-releases/dec-2002/notification-of-sebi-foreign-institutional-investors-amendment-regulations-2002_18452.html,Procedure,General,1,
13,11,10-12-2002,2002,Fees for registration of FIIs reduced,https://www.sebi.gov.in/media/press-releases/dec-2002/notification-of-sebi-foreign-institutional-investors-amendment-regulations-2002_18452.html,Procedure,General,1,
14,12,11-02-2003,2003,"Circular clarifying that invesment limit of 10% and 5% of the total issued capital will not be attracted in case of derivatives contractracs till it does not result in physical settlement of the underlying stoock,",https://taxguru.in/sebi/sebi-applicability-investment-limit-exchange-traded-derivative-contracts.html,Investment Condition,Derivatives,0,Legislative instrument not traceable. Secondary source for legislative insturment provided.
15,13,31-03-2003,2003,Uniform Client Code to be obtained for trades to be carried out on the stock exchange. To be compulsory from a later date.,https://www.sebi.gov.in/legal/circulars/apr-2004/unique-client-code-for-foreign-institutional-investors-fiis-and-their-sub-accounts-sas_9617.html,Procedure,General,-1,
16,14,08-08-2003,2003,Revision in the format in which offshore derivatie instruments are issued by FIIs,https://www.sebi.gov.in/legal/circulars/aug-2003/issuance-of-offshore-derivative-instruments-by-registered-foreign-institutional-investors-fii-_15937.html,Procedure,Derivatives,0,
17,15,28-08-2003,2003,"Regulation 7A introduced mandating that a foreign institutional investor holding a certificate shall, at all times, abide by the Code of Conduct as specified in in Third Schedule",https://www.sebi.gov.in/acts/act07a.html#_ftn28,Investment Condition,General,-1,
18,16,01-09-2003,2003,FIIs & NRIs permitted to trade in all exchange traded derivative contracts approved by SEBI from time to time subject to the limits prescribed by SEBI.,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=1324&Mode=0,Investment Condition,Derivatives,0,
19,17,29-10-2003,2003,Position limits specified for trading in exchange traded derivatives by FIIs modified,https://www.sebi.gov.in/legal/circulars/oct-2003/trading-by-fiis-and-nris-in-exchange-traded-derivative-contracts_15969.html,Investment Condition,Derivatives,-1,
20,18,20-11-2003,2003,Revision in the format in which offshore derivative instrumens are issued by FIIs requiring FIIs with no offshore derivative instruments to make a one-time Nil reporting along with undertaking,https://www.sebi.gov.in/legal/circulars/nov-2003/issuance-of-offshore-derivative-instruments-by-registered-foreign-institutional-investors-fii-_15974.html,Procedure,Derivatives,0,
21,19,17-12-2003,2003,"FIIs/ sub- accounts of FIIs permited to buy/sell equity shares/debentures of Indian companies, units of domestic mutual funds,dated Government Securities and Treasury Bills through stock exchanges in India at the ruling market price, invest / trade in exchange traded derivative contracts, and also to buy/sell shares and debentures etc. of listed/unlisted companies otherwise than on stock exchange at a price approved by SEBI/ Reserve Bank",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=2758&Mode=0,Investment Condition,General,1,
22,20,01-01-2004,2004,Separate clearance of RBI and SEBI no longer required for registration/renewal of FIIs and sub accounts.,https://www.sebi.gov.in/legal/circulars/jan-2004/registration-renewal-of-foreign-institutional-investors-and-sub-accounts_9540.html,Investment Condition,General,1,
23,21,01-01-2004,2004,"FIIs allowed to issue, deal in or hold, off-shore derivative instruments against underlying securities, listed or proposed to be listed on any stock exchange in India, in favour of those entities which are regulated by any relevant regulatory authority in the countries of their incorporation or establishment, subject to compliance of ""know your client"" requirement",https://www.sebi.gov.in/acts/fiireguamend.html,Investment Condition,Derivatives,1,
24,22,19-02-2004,2004,Clarification regarding which entities would be deemed to be regulated for the purpose of issuing offshore derivative instruments,https://www.sebi.gov.in/legal/circulars/feb-2004/issuance-of-offshore-derivative-instruments-by-registered-foreign-institutional-investors-fii-_9575.html,Eligibility,Derivatives,0,
25,22,19-02-2004,2004,"Amendment to FII Regs: Exemption provided under r.15 allowing FIIs to access secondary markets under the SEBI Delisting of Securities Guidelines, 2003.",https://www.sebi.gov.in/legal/regulations/feb-2004/securities-and-exchange-board-of-india-foreign-institutional-investors-second-amendment-regulations-2004_12125.html,Investment Condition,General,1,
26,22,19-02-2004,2004,FIIs allowed to participate in disinvestment of shares made by government,https://www.sebi.gov.in/legal/regulations/feb-2004/securities-and-exchange-board-of-india-foreign-institutional-investors-second-amendment-regulations-2004_12125.html,Investment Condition,Debt,1,
27,23,02-04-2004,2004,FIIs directed to obtain Uniform Client code for trades on stock exchange,https://www.sebi.gov.in/legal/circulars/apr-2004/unique-client-code-for-foreign-institutional-investors-fiis-and-their-sub-accounts-sas_9617.html,Procedure,General,0,
28,23,02-04-2004,2004,Reporting of offshore derivative instruments to be reported monthly (as opposed to fortnightly).,https://www.sebi.gov.in/legal/circulars/apr-2004/reporting-of-offshore-derivative-instruments-by-registered-foreign-institutional-investors-fii-_9614.html,Procedure,Derivatives,1,
29,23,02-04-2004,2004,FIIs no longer required to make 'Nil' requirements.,https://www.sebi.gov.in/legal/circulars/apr-2004/reporting-of-offshore-derivative-instruments-by-registered-foreign-institutional-investors-fii-_9614.html,Procedure,General,1,
30,25,01-11-2006,2006,"FII investment upto 23percent permitted in market infrastructure institutions in the securities markets, such as stock exchanges, depositories, and clearing corporations.",https://www.nseindia.com/content/us/ismr2011ch7.pdf,Investment Limit,Equity,1,"Legislative instrument not traceable. Cited at annexure 1 of the source link.
"
31,26,01-04-2006,2006,FII Debt Limit increased from USD 1.75 billion to 2 billion for Government bonds,https://www.rbi.org.in/Scripts/BS_ViewBulletin.aspx?Id=17257,Investment Limit,Debt,1,Legislative instrument not traceable. Cited at annexure 1 of the source link.
32,28,01-09-2006,2006,Separate limit of US$ 0.5 billion in Tier II bonds,https://www.rbi.org.in/Scripts/BS_ViewBulletin.aspx?Id=17257,Investment Condition,Debt,1,"Legislative instrument not traceable. Cited at annexure 1 of the source link.
"
33,29,01-11-2004,2004,FII limit raised to USD 1.75 billion,https://www.rbi.org.in/Scripts/BS_ViewBulletin.aspx?Id=17257,Investment Limit,Debt,1,"Legislative instrument not traceable. Cited at annexure 1 of the source link.
"
34,30,01-12-2004,2004,Outstanding corporate debt limit of US $ 0.5 billion prescribed. The objective was to limit short-term debt flows,https://www.rbi.org.in/Scripts/BS_ViewBulletin.aspx?Id=17257,Investment Limit,Debt,1,"Legislative instrument not traceable. Cited at annexure 1 of the source link.
"
35,31,26-06-2006,2006,Amendment to FII Regs: Validity of registration reduced from five years to three years,https://www.sebi.gov.in/legal/regulations/jun-2006/securities-and-exchange-board-of-india-foreign-institutional-investors-amendment-regulations-2006_15099.html,Investment Condition,General,-1,
36,31,26-06-2006,2006,Amendment to FII Regs: Registration fees doubled,https://www.sebi.gov.in/legal/regulations/jun-2006/securities-and-exchange-board-of-india-foreign-institutional-investors-amendment-regulations-2006_15099.html,Investment Condition,General,-1,
37,31,26-06-2006,2006,Amendment to FII Regs: FIIs alowed to invest in security receipts,https://www.sebi.gov.in/legal/regulations/jun-2006/securities-and-exchange-board-of-india-foreign-institutional-investors-amendment-regulations-2006_15099.html,Investment Condition,Debt,1,
38,32,21-08-2006,2006,Amendment to FII Regs: Eligibility of FIIs broadened,https://www.sebi.gov.in/legal/regulations/aug-2006/securities-and-exchange-board-of-india-foreign-institutional-investors-second-amendment-regulations-2006_10601.html,Eligibility,General,1,
39,32,21-08-2006,2006,Formats of form for registration revised,https://www.sebi.gov.in/legal/regulations/aug-2006/securities-and-exchange-board-of-india-foreign-institutional-investors-second-amendment-regulations-2006_10601.html,Procedure,General,1,
40,33,01-01-2007,2007,FII Debt Limit increased from USD 2 billion to 2.6 billion for Government bonds,https://www.rbi.org.in/Scripts/BS_ViewBulletin.aspx?Id=17257,Investment Limit,Debt,1,"Legislative instrument not traceable. Cited at annexure 1 of the source link.
"
41,34,08-01-2007,2007,Amendment to FII Regs: Domestic asset management companies and domestic portfolio companies no longer deemed to be FIIs,https://www.sebi.gov.in/legal/regulations/jan-2007/securities-and-exchange-board-of-india-foreign-institutional-investors-amendment-regulations-2007_8651.html,Eligibility,General,1,
42,27,01-04-2006,2006,FII Debt Limit increased from USD 0.5 billion to 1.5 billion for Corporate bonds,https://www.rbi.org.in/Scripts/BS_ViewBulletin.aspx?Id=17257,Investment Limit,Debt,1,"Legislative instrument not traceable. Cited at annexure 1 of the source link.
"
