Sr. No. (CCA),Sr. No. (instrument),Date,Year,Capital control action,Link to capital control instrument,Category,Asset Class,Ease/tightening,Remarks
66,50,26-11-2010,2010,FIIs allowed to invest in to-be listed securities,https://www.sebi.gov.in/sebi_data/attachdocs/1293785187375.pdf,Investment Condition,General,1,
67,51,03-01-2011,2011,FII Debt Limit increased from USD 20 billion to 25 billion for Corporate bonds,https://www.rbi.org.in/Scripts/BS_ViewBulletin.aspx?Id=17257,Investment Limit,Debt,1,"Legislative instrument not traceable. Cited at annexure 1 of the source link.
"
68,52,10-01-2011,2011,Limit allocation to be done only on an auction basis,Not available,Procedure,Debt,1,
69,53,11-01-2011,2011,Foreign investment limit in government debt increased from USD 10 billion to USD 15 billion,https://www.rbi.org.in/Scripts/BS_ViewBulletin.aspx?Id=17257,Investment Limit,Debt,1,"Legislative instrument not traceable. Cited at annexure 1 of the source link.
"
70,54,29-04-2011,2011,Increase in total limit available to FIIs for investment in listed NCDs/bonds to USD 40 billion by raising the sub limit of USD 25 billion for investment in the infrastructure sector,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=6364&Mode=0,Investment Limit,Debt,1,
71,54,29-04-2011,2011,"Custodian banks are allowed to issue Irrevocable Payment Commitments (IPCs) in favour of the Stock Exchanges / Clearing Corporations of the Stock Exchanges, on behalf of their FII clients for purchase of shares under the Portfolio Investment Scheme",https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=6363&Mode=0,Procedure,General,1,
72,55,02-05-2011,2011,Amendment to FII Regs: Entities specifically recognized as distinct and separate by the government pursuant to treaties or agreements with other soverign governments to be recognized as distinct and separate by SEBI as well.,https://www.sebi.gov.in/legal/regulations/may-2011/securities-and-exchange-board-of-india-foreign-institutional-investors-amendment-regulations-2011_20664.html,Eligibility,General,0,
73,56,20-05-2011,2011,FIIs can undertake foreign currency- rupee swaps for hedging the flows relating to the IPO under the ASBA mechanism,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=6426&Mode=0,Investment Condition,General,1,
74,57,09-08-2011,2011,"QFIs allowed to invest in mutual funds, within the limit of USD 25 bn applicable to FPI investment in infrastructure sector.",https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=6664&Mode=0,Investment Condition,Other,0,
75,58,03-11-2011,2011,"FIIs allowed to invest in bonds/NCDs issued by infrastructure NBFCs within the overall limit of USD 25 billion applicable to FPI investment in infrastructure. 
Lock-in period reduced to 1 year for investments in infrastructure sector.",https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=6794&Mode=0,Investment Condition,Debt,1,
76,58,03-11-2011,2011,The conditions for FPI investment in infra NBFCs made applicable to QFIs investing in mutual funds as well.,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=6794&Mode=0,Investment Condition,Other,1,
77,59,13-01-2012,2012,QFIs allowed to invest in equity shares,https://www.sebi.gov.in/legal/circulars/jan-2012/investment-by-qualified-foreign-investors-qfi-in-indian-equity-shares_21971.html,Investment Condition,Equity,0,
