Case No,Bench,"Who filed?
(Corporate Debtor/ Operational Creditor/ Financial Creditor)",Type of Creditor ,Type of operational creditor,Type of financial creditor,Amount of Debt,Secured/ unsecured,Name of Corporate Debtor,Due Date for payment,Date of demand notice,Date of receipt/service of Demand Notice,Date of filing in NCLT,First date of case listing,Date of final disposal,Evidence of debt (What kind of document),Admitted/ dismissed,Category of reason for dismissal,Name of Insolvency Professional,URL,Appeal (Yes/No),Who appealed?,Appeal Allowed/Rejected
CP No. 15/I & BP/NCLT/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,15826037,Unsecured,Shree Rajeshwar Weaving Mills Pvt.Ltd.,01.04.2016,NA,NA,31.01.2017,02.03.2017,02.03.2017,Financial statements including auditor certificate,Admitted,NA,Mr. Hemant Sharma,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Shree%20Rajeshwar%20Weaving%20Mills%20Pvt.%20Ltd.%20CP%2015-IBP-2017%20NCLTon%2002.03.2017.pdf,N,NA,NA
CP No. 21/I & BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Debenture holder,510000000,Unsecured,Neelkanth Township and Costruction Pvt. Ltd. ,Not available,Not available,Not available,Not available,28.02.2017,01.03.2017,Unclear,Dismissed,Other,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Urban%20Infrastructure%20Trustee%20Ltd.%20CP%2021-I&BP-2017%20Order%20dated%20on%2001.03.2017%20Final.pdf,N,NA,NA
CP No. 10/I & BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Supplier ,NA,6136636,Unsecured,Unimark Remedies Ltd,Not available,NA,NA,Not available,24.02.2017,24.02.2017,Invoices for goods supplied,Admitted,NA,Mr. Rajeev Mannadia,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Unimarks%20Remedies%20Ltd.%20CP%2010-IBP-2017%20NCLT%20on%2024.02.2017.pdf,N,NA,NA
CP No. 23/I & BP/NCLT/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,383531000,Secured,Chhaparia Industries Pvt.Ltd.,03.02.2015,NA,NA,Not available,24.02.2017,24.02.2017,Copy of registration of charge,Admitted,NA,Mr. Vikram Bajaj,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Chaparia%20Industries%20Pvt.%20Ltd.%20CP%2023-IBP-2017%20NCLT%20on%2024.02.2017.pdf,N,NA,NA
CP No. 12/I & BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Bank,277827162,Unclear,Starlog Enterprises Limited,Not available,NA,Not available,Not available,17.02.2017,17.02.2017,Proof from Credit Information Agency,Admitted,NA,Mr. Sashank Narendra Desai,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/ICICI%20Bank%20Ltd..pdf,N,NA,NA
CP No. 16/I & BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational creditor,Supplier,NA,1540471,Unsecured,Midas Touch Export Pvt. Ltd.,10.01.2017,10.01.2017,Not available,Not available,17.02.2017,17.02.2017,Invoice and bank statements,Admitted,NA,Mr. Romesh Chander Sawhney,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Midas%20Touch%20Export%20Pvt.%20Ltd..pdf,N,NA,NA
CP No. 06/I & BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Not available,NA,Not available,Not available,National Steel and Agro Industries Ltd.,Not available,Not available,Not available,Not available,30.01.2017,30.01.2017,Not available,Dismissed,Incomplete application,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/National%20Steel%20and%20Agro%20Industries%20Ltd..pdf,N,NA,NA
CP No. 05/I & BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Not available,NA,Not available,Not available,Swiber Offshore (India) Pvt. Ltd.,Not available,Not available,Not available,Not available,30.01.2017,30.01.2017,Not available,Dismissed,Incomplete application,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Swiber%20Offshore%20(India)%20Pvt.%20Ltd..pdf,N,NA,NA
CP No. 02/I & BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Service provider,NA,2008202,Unsecured,Kirusa Software Pvt. Ltd.,Not available,Not available,Not available,Not available,27.01.2017,27.01.2017,Invoices,Dismissed,Existing dispute,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Kirusa%20Software%20Pvt.%20Ltd..pdf,Yes[Company Appeal (AT)(Ins) No 5 of 2017]],Operational Creditor,Allowed
CP No. 01/I & BP/NCLT/MAH/2016,Mumbai Bench,Creditor,Financial Creditor,NA,Bank,Not available,Not available,Innoventive Industries Ltd.,Not available,Not available,Not available,Not available,23.01.2017,23.01.2017,Not available,Dismissed,Other,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Innoventive%20Industries%20Ltd_1..pdf,N,NA,NA
CP No. 03/I & BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,NBFC,48232181,Secured,Bhupen Electronic Limited,Not available,Not available,Not available,Not available,19.01.2017,19.01.2017,Documents relating to assignment of debt which was already in default before the said assignment,Admitted,NA,Mr. Manish Gupta,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/VIP%20Finvest%20Consultancy%20Pvt.%20Ltd..pdf,N,NA,NA
CP No. 01/I & BP/NCLT/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,1167987385,Secured,U.B. Engineering Ltd.,Not available,NA,NA,Not available,18.01.2017,18.01.2017,Not available,Admitted,NA,Mr. Adesh Kumar Mehta,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/U.B.%20Engineering%20Ltd..pdf,N,NA,NA
CP No. 01/I & BP/NCLT/MAH/2015,Mumbai Bench,Creditor,Financial Creditor,NA,Bank,1019177034,Not available,Innoventive Industries Ltd.,30.11.2016,NA,NA,Not available,16.01.2017,17.01.2017,Unclear,Admitted,NA,Mr. Dhinal Shah,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Innoventive%20Industries%20Ltd..pdf,N,NA,NA
C.P-184/2017,Kolkata Bench,Not available,Not available,NA,NA,Not available,NA,Mayapur Vastu Private Limited,Not available,Not available,Not available,Not available,Not available,17.04.2017,Not available,Dismissed,Settlement,NA,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/Mayapur%20Vastu%20Developments%20Pvt.%20Ltd..pdf,N,NA,NA
C.P. No 73/2017,Kolkata Bench,Creditor,Operational Creditor,Employee,NA,1020437,Unsecured,Rei Agro Limited,31.08.2016,25.01.2017,Not available,Not available,Not available,27.02.2017,Invoices,Admitted,NA,Mr.Anil Agarwal,http://nclt.gov.in/interim_orders/kolkata_II/27.02.2017/Rei%20Agro%20Limited..pdf,Yes[Company Appeal (AT)(Ins) No 35 of 2017],Third Party,Rejected
C.P. No 16/2017,Kolkata Bench,Creditor,Financial Creditor,NA,NBFC,Not available,Not available,Shree Metalinks,Not available,Not available,Not available,Not available,Not available,24.02.2017,Not available,Admitted,NA,S.M. Gupta,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/Shree%20Metalinks%20Ltd.%20&%20Ors..pdf,Yes[Company Appeal (AT)(Ins) No 3 of 2017],Corporate Debtor,Allowed
C.P. No 83/2017,Kolkata Bench,Corporate Debtor,NA,NA,NA,Not available,Not available,Hindustan Motors Ltd,Not available,NA,NA,Not available,Not available,24.02.2017,Not available,Dismissed,Other,NA,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/Hindustan%20Motors%20Ltd..pdf,N,NA,NA
CA/1/IB/2017,Chennai Bench,Creditor,Operational Creditor,Supplier,NA,947446921,Secured,Vasan Healthcare Pvt. Limited,07.12.2015,Not available,06.01.2017,Not available,10.04.2017,21.04.2017,Not available,Admitted,NA,V Mahesh,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/vasan%20health%20care%20(2).pdf,N,NA,NA
13/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not available,NA,Not available,Not available,Express Equipment Rental and Logistic Pvt Ltd,NA,NA,NA,NA,NA,11.05.2017,NA,Dismissed,Settlement,NA,http://nclt.c2k.in/OtherNCLT/Publication/Ahmedabad_Bench/2017/Others/ExpressEquipment.pdf,N,NA,NA
11/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Not available,Not available,Not available,Anil Ltd.,NA,NA,NA,NA,NA,09.05.2017,NA,Dismissed,Settlement,NA,http://nclt.c2k.in/OtherNCLT/Publication/Ahmedabad_Bench/2017/Others/18.pdf,N,NA,NA
12/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not available,NA,Not available,NA,DCW Ltd.,Not available,NA,NA,NA,NA,08.05.2017,NA,Dismissed,Settlement,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Final%20Thyssenkrupp%20Industries%20Solution%20(India)%20Pvt.%20Ltd.%20v.%20DCW%20Ltd..pdf,N,NA,NA
10/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Supplier,NA,422500000,Unsecured,STI India Ltd.,Not available,19.04.2017,Not available,24.04.2017,28.04.2017,05.05.2017,Invoice,Dismissed,Other,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Final%20Order%20Gujarat%20State%20Cooperative%20Cotton%20Federation%20Ltd.%20Vs.%20STI%20India%20Ltd.(IB).pdf,N,NA,NA
5/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,NBFC,66248691,Unsecured,Steel Konnect (India) Pvt. Ltd.,NA,NA,NA,Not available,Not available,19.04.2017,Master Facility Agreement,Admitted,NA,Mr. Ritu Rastogi,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/FINAL%20Hero%20Fincorp%20Ltd.%20v.%20Steel%20Konnect%20(India)%20Pvt.%20Ltd..pdf,N,NA,NA
6/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not available,NA,Not available,NA,Alok Industries Ltd.,Not available,Not available,Not available,Not available,Not available,17.04.2017,Not available,Dismissed,Settlement,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Arun%20Structurals%20And%20Engineers%20Pvt.%20Ltd.%20v.%20Alok%20Industries%20Ltd..pdf,N,NA,NA
4/10/NCLT/AHM/2017,Ahmedabad Bench,Corporate Debtor,NA,NA,NA,487963000,Partially secured,Gujarat Oleo Chem Ltd.,Not available,NA,NA,02.02.2017,05.04.2017,13.04.2017,NA,Admitted,NA,Shri Rakesh Chaturvedi,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Final%20CP%20(IB)%204%20of%202017%20Gujarat%20oleo%20Chem%20Ltd%20v.%20IDBI%20Bank%20Ltd%20&%20Ors.pdf,N,NA,NA
3/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Supplier,NA,2250038,Unsecured,Stratus Foods Pvt. Ltd.,Not available,20.02.2017,21.02.2017,15.03.2017,03.04.2017,10.04.2017,Retail Invoices,Admitted,NA,Not mentioned,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/FINAL%20Umiya%20Trading%20v.%20Stratus%20Foods%20Pvt.%20Ltd..pdf,N,NA,NA
01/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Supplier,NA,1362000,Unsecured,Pooja Tex-Prints Pvt. Ltd.,Not available,05.01.2017,09.01.2017,15.03.2017,28.03.2017,29.03.2017,Not available,Admitted,NA,Not mentioned,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Gurinandan%20Fashion%20Pvt.%20Ltd.%20v.%20Pooja%20Tex-Prints%20Pvt.%20Ltd..pdf,N,NA,NA
CP(IB)/19/7/HDB/2017,Hyderabad Bench,Creditor,Financial Creditor,NA,Individual ,9147864,Unsecured,Geometrix Laser Solutions Private Limited,Not available,NA,NA,Not available,22.02.2017,13.03.2017,Financial statements of debtor company,Dismissed,Not a creditor,NA,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/1geometrix%20laser%20solutions.pdf,N,NA,NA
CP(IB)/9/9/HDB/2017,Hyderabad Bench,Creditor,Operational Creditor,Employee,NA,12222969,Unsecured,Lanco Infratech Ltd.,Not available,02.01.2017,Not available,Not available,Not available,21.02.2017,Financial statements of petitioner,Dismissed,Existing dispute,NA,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/Lanco%20Infratech%20Ltd..pdf,N,NA,NA
CP(IB)/16/07/HDB/2017,Hyderabad Bench,Creditor,Financial Creditor,NA,Bank,3353210602,Not available,Kamineni Steel and Power India Private Limited,Not available,Not available,Not available,Not available,Not available,20.02.2017,Not available,Dismissed,Other,NA,http://nclt.gov.in/Publication/Hyderabad_Bench/2017/Others/Kamineni%20Steel%20and%20Power%20India%20Private%20Limited..pdf,N,NA,NA
CP(IB)/10/ALD/2017,Allahabad Bench,Creditor,Operational Creditor,Not available,NA,1706766,Unsecured,Juggilal Kamlpat Jute Mills Company Limited,Not available,Not available,Not available,Not available,Not available,03.05.2017,Not available,Dismissed,Other,NA,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/final%20order%20cp%20no%20(IB)10%20ALD%202017%20DATED%20IN%203.5.2017.pdf,Yes[Company Appeal (AT)(Ins) No 09 of 2017],Corporate Debtor,Allowed
CP(IB)/36/ALD/2017,Allahabad Bench,Creditor,Operational Creditor,Employee,NA,1319000000,Unsecured,Juggilal Kamlpat Jute Mills Company Limited,Not available,14.03.2017,Not available,28.03.2017,Not available,28.04.2017,Not available,Dismissed,Existing dispute,NA,http://nclt.c2k.in/OtherNCLT//Publication/Allahabad/2017/other/Juggilaln12.pdf,N,NA,NA
CP(IB)/23/ALD/2017,Allahabad Bench,Corporate Debtor,NA,NA,NA,94800000,Secured,Raman Ispat Private Limited,Not available,NA,NA,Not available,Not available,11.04.2017,NA,Admitted,NA,Mr.Praveen Bansal,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/Raman%20ISPAT%20Pvt.Ltd..pdf,N,NA,NA
CP(IB)/25/ALD/2017,Allahabad Bench,Corporate Debtor,NA,NA,NA,13320000000,Not available,JODPL Private Limited,Not available,NA,NA,Not available,Not available,17.03.2017,NA,Admitted,NA,Mr.Dinkar T Subramanium,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/JODPL%20Private%20Limited.pdf,N,NA,NA
CP(IB)/24/ALD/2017,Allahabad Bench,Corporate Debtor,NA,NA,NA,Not available,Secured,JEKPL Private Limited,Not available,NA,NA,Not available,Not available,17.03.2017,NA,Admitted,NA,Mr.Dinkar T Subramanium,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/JEKPL%20Private%20Limited.pdf,N,NA,NA
CP(IB) No 1/BB/17,Bengaluru Bench,Creditor,Operational Creditor,Supplier,NA,11834618,Unsecured,Falcon Tyres Limited,Not available,24.01.2017,Not available,10.03.2017,Not available,28.04.2017,Bank statements,Admitted,NA,Anand Ramchandra Bhat,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/Belthangady%20Taluk%20Rubber%20Grower's%20Marketing%20&%20Processing%20Co%20operative%20Society%20Ltd%201%202017%20FO.pdf,N,NA,NA
CP(IB) No 13/BB/17,Bengaluru Bench,Corporate Debtor,NA,NA,NA,101521050,Not available,24*7 Learning Private Limited,Not available,NA,NA,Not available,Not available,28.04.2017,Audited financial statements,Admitted,NA,Ramesh Kumar Bhat,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/24X7%20Learning%20Pvt%20Ltd%2013%2017%20FO.pdf,N,NA,NA
CP(IB) No 17/2017,Bengaluru Bench,Creditor,Operational Creditor,Supplier,NA,Not available,Not available,Avni Energy Solutions Private Limited,Not available,Not available,Not available,Not available,Not available,17.04.2017,Not available,Dismissed,Other,NA,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/Fortune%20Plastech%20IB%2017%2017%20FO.pdf,N,NA,NA
CP(IB) No 6/BB/17,Bengaluru Bench,Creditor,Operational Creditor,Supplier,NA,450778,Unsecured,Jackonblock Facility Services Private Limited,Not available,01.03.2017,Not available,Not available,Not available,17.04.2017,Bank statements,Admitted,NA,Mr.Thirupal Gorige,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/170418Subodha%20Entertainments%20Co%20IB6%2017%20FO.pdf,N,NA,NA
CP(IB) No. 16/Chd/PB/2017 ,Chandigarh Bench,Corporate Debtor,NA,NA,NA,956200000,Secured,Dunn Foods Private Limited,Not available,NA,NA,Not available,25.04.2017,02.05.2017,NA,Admitted,NA,Mr. Krishnan Vind Jain,http://nclt.c2k.in/OtherNCLT/Publication/Chandigarh_Bench/2017/Others/13.pdf,N,NA,NA
CP(IB) No. 15/Chd/CHD/2017 ,Chandigarh Bench,Creditor,Financial Creditor,NA,Bank,525719407,Secured,James Hotels Ltd.,Not available,NA,NA,Not available,07.04.2017,27.04.2017,Sanction Letter ,Admitted,NA,Not mentioned,http://nclt.c2k.in/OtherNCLT/Publication/Chandigarh_Bench/2017/Others/6.pdf,Yes[Company Appeal (AT)(Ins) No 46 of 2017],Corporate Debtor,Withdrawn
CP(IB) No. 9/Chd/PB/2017 ,Chandigarh Bench,Creditor,Operational Creditor,Not available,NA,3485549,Unsecured,Panacea Biotech Limited,Not available,Not available,Not available,Not available,03.04.2017,18.04.2017,Account statement,Dismissed,Other,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Panacea%20Biotech%2018.04.17.pdf,N,NA,NA
CP(IB) No. 10/Chd/Hry/2017 ,Chandigarh Bench,Corporate Debtor,NA,NA,NA,1411600000,Secured,SRS Modern Sales Limited,Not available,NA,NA,Not available,Not available,17.04.2017,NA,Admitted,NA,Sameer Rastogi,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/1718SRS%20Modern%20Sales%20Limited%2017.04.2017.pdf,N,NA,NA
CP(IB) No. 8/Chd/CHD/2017 ,Chandigarh Bench,Corporate Debtor,NA,NA,NA,23000000,Secured,Super MultiColor Printers Private Limited,Not available,NA,NA,Not available,Not available,07.04.2017,NA,Admitted,NA,Prakash Dev Sharma,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Super%20Multicolour%2007.%2004.2017.pdf,N,NA,NA
CP(IB) No. 13/14Chd/Hry/2017 ,Chandigarh Bench,Creditor,Operational Creditor,Supplier,NA,1249307,Unsecured,Meyer Apparel Limited,Not available,15.02.2017,Not available,Not available,Not available,07.04.2017,"Invoices, purchase orders",Admitted,NA,Arun Jain,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Surbhi%20Body%20Products.7.4.17.pdf,Yes[Company Appeal (AT)(Ins) No 33 of 2017],Corporate Debtor,Allowed
CP(IB) No. 9/Chd/CHD/2017 ,Chandigarh Bench,Corporate Debtor,NA,NA,NA,182900000,Secured,Sky Blue Papers Private Limited,Not available,NA,NA,Not available,30.03.2017,07.04.2017,Books of accounts,Admitted,NA,Jalesh Kumar Grover,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Sky%20Blue%20Papers%20cp%20ib%209%2007.04.2017.pdf,N,NA,NA
CP(IB) No. 7/Chd/HR/2017 ,Chandigarh Bench,Corporate Debtor,NA,NA,NA,846100000,Secured,Recorders and Medicare System Private Limited,Not available,NA,NA,Not available,15.03.2017,16.03.2017,NA,Admitted,NA,Purushottam Ram Singhania,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Recorders%20and%20medicare%20systems%2016%20March%2017.pdf,N,NA,NA
CP(IB) No. 1(Chd)/2017 ,Chandigarh Bench,Corporate Debtor,NA,NA,NA,62850631,Secured,Hind Motors Limited,Not available,NA,NA,Not available,03.02.2017,14.02.2017,NA,Admitted,NA,Manik Goyal,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Hind%20Motors%20Ltd..pdf,Yes[Company Appeal (AT)(Ins) No 11 of 2017],Corporate Debtor,Allowed
CP(IB) No. 19/Chd/Hry/2017 ,Chandigarh Bench,Creditor,Financial Creditor,NA,Corporate Lender,20000000,Secured,Y.K. Developers Private Limited,09.06.2016,NA,NA,Not available,01.05.2017,09.05.2017,Documents evidencing the creation of security,Dismissed,Other,NA,http://nclt.c2k.in/OtherNCLT/Publication/Chandigarh_Bench/2017/Others/YKdeveloper.pdf,N,NA,NA
CP(IB) No. 11/PB/2017 ,Chandigarh Bench,Creditor,Operational Creditor,Service provider(consultant),NA,960000000,Unsecured,Isolux Corsan India Engineering,Not available,03.01.2017,Not available,Not available,25.04.2017,08.05.2017,Unclear,Dismissed,Other,NA,http://nclt.c2k.in/OtherNCLT/Publication/Chandigarh_Bench/2017/Others/Isolux3.pdf,N,NA,NA
