"2. Is Financial Inclusion good for bank stability? International evidence, 	M.Mostak Ahmad and Sushanta Mallick (Queen Mary University of London)"
"3. Cross-Border Capital Flows in Emerging Markets: Demand-Pull or Supply-Push?, 	Kurmaş Akdoğan, Neslihan Kaya Ekşi (Central Bank of the Republic of Turkey) and Ozan Ekşi (TOBB University of Economics and Technology)"
"5. Alternative Legal Institutions, Xinfang, and Finance, 	Jiafu An, Jo Danbolt and Wenxuan Hou (The University of Edinburgh Business School)"
"9. Leverage Network and Contagion, 	JiangzeBian (University of International Business and Economics), Zhi Da (University of Notre Dame), Dong Lou (London School of Economics and CEPR) 	and Hao Zhou (Tsinghua University)"
"10. Finance and Growth at the Firm Level:Evidence from SBA Loans, 	J. David Brown (Center for Economic Studies–U.S. Census Bureau) and John S. Earle (Mason University)"
"11. Where Does Privatization Work? Understanding the Heterogeneity 	 in Estimated Firm Performance Effects, 	J. David Brown (Center for Economic Studies–U.S. Census Bureau), John S. Earle (Mason University) and Álmos Telegdy (Central European University)"
"12. Anomalous Returns, Risk Premiums and Diversification: Evidence from Frontier Market, 	Hilal Anwar Butt (Institute of Business Administration Karachi)"
"13. Foreign Indexes trading in SGX: An empirical analysis on price discovery, 	Jerry Cao ( Lingnan College), Xiaoming Wang (Shanghai University of Finance and Economics), Nelson K.L. Yap and Sili Zhou (Lee Kong Chian School of Business)"
"14. Foreign bank ownership and risk-taking:Evidence from emerging economies, 	Bang Nam Jeon (Drexel University), Minghua Chen, Rui Wang and Ji Wu (Southwestern University of Finance and Economics Chengdu)"
"16. When Positive Sentiment Is Not So Positive: Textual Analytics and Bank Failures, 	Aparna Gupta, Majeed Simaan and Mohammed J. Zaki (Rensselaer Polytechnic Institute)"
"21. Do Government Linked Companies Hold More Cash?, 	Chenxi LIU, Nelson K.L.Yap and Sili Zhou (Lee Kong Chian School of Business, Singapore Management University)"
"24. Uncovered Equity “Disparity” in Emerging Markets, 	Ana-Maria Fuertes, Kate Phylaktis (Cass Business School) and Cheng Yan (Durham University Business School)"
