"Case.No.","Bench","Who.filed..Corporate.Debtor...Creditor","Type.of.Creditor...Financial.or.operational","Type.of.Operational.Creditor","Type.of.Financial.Creditor","Amount.of.Debt","Name.of.Corporate.Debtor","Due.Date.for.payment","Date.of.demand.notice","Date.of.receipt.service.of.Demand.Notice","Date.of.filing.in.NCLT","First.date.of.case.listing","Date.of.final.disposal","Admitted.Dismissed","Name.of.Insolvency.Professional","Category.for.reason.for.dismissal","BIFR...Y.N","Appeal...Y.N","Who.appealed.","Outcome.of.appeal"
"(IB)-68/Chd/Pb/2017 ","Chandigarh Bench","Creditor","Operational Creditor","Vendor",NA,"4391983","Aseem Ispat Private Limited ","Not Available","20.07.2017","24.07.2017","Not Available","Not Available","20.09.2017","Admitted","Deferred for next hearing ",NA,"N","N",NA,NA
"(IB)-60/Chd/Pb/2017 ","Chandigarh Bench","Corporate Debtor",NA,NA,NA,"242440235.3","Oasis Agroinfra Limited ","Not Available",NA,NA,"Not Available","Not Available","22.09.2017","Admitted","Deferred for next hearing ",NA,"N","N",NA,NA
"(IB)-61/Chd/Hry/2017 ","Chandigarh Bench","Creditor","Operational Creditor","Vendor",NA,"2968672","Preet Tractors Private Limited ","Not Available","04.07.2017","07.07.2017","Not Available","Not Available","25.09.2017","Admitted","Referred to IBBI",NA,"N","N",NA,NA
"(IB)No.62/Chd/Hry/2017","Chandigarh Bench","Creditor","Operational Creditor","Vendor",NA,"21812493","ZTE Telecom India Private Limited","31.03.2011","27.05.2017","Not Available","Not Available","Not Available","11.10.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"(IB)No.52/Chd/Pb/2017","Chandigarh Bench","Creditor","Operational Creditor","Vendor",NA,"5994624 plus 24% interest","M/s. Deepak Fasteners Limited","Not Available","06.06.2017","09.06.2017","14.07.2017","Not Available","11.10.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"(IB)No.63/Chd/Pb/2017","Chandigarh Bench","Creditor","Operational Creditor","Vendor",NA,"81597672","Jindal Cotex Ltd.","Not Available","29.06.2017","01.07.2017","21.07.2017","Not Available","25.10.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Rejected"
"(IB)No.76/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Best Foods Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"(IB)No.77/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Best Foods Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"(IB)No.88/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Best Foods Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"(IB)No.78/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Best Foods Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"(IB)No.79/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Best Foods Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"(IB)No.80/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Best Foods Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"(IB)No.81/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Best Foods Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"(IB)No.82/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Best Foods Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"(IB)No.84/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Best Foods Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"(IB)No.85/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Best Foods Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"(IB)No.86/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Best Foods Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"(IB)No.87/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available","Not Available","Not Available","M/s. Best Foods Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"(IB)No.91/Chd/Pb/2017","Chandigarh Bench","Corporate Debtor",NA,NA,NA,"1288435699","SECL Industries Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","25.10.2017","Admitted","Not Available",NA,"N","N",NA,NA
"CP (IB) No. 75/Chd/HP/2017","Chandigarh Bench","Creditor","Financial Creditor",NA,"Bank","207390189+interest","A. Power Himalayas Ltd.","Not Available",NA,NA,"Not Available","Not Available","03.11.2017","Admitted","Mr. Rajeev Khurana",NA,"N","N",NA,NA
"CP (IB) No. 69/Chd/Hry/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Isoluc Corsan India Engineering and Construction Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","07.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP (IB) No. 109/Chd/Hry/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","SRS Meditech Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","09.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP (IB) No. 106/Chd/CHD/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Best Foods Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","10.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP (IB) No. 103/Chd/Pb/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Kapsons Industries Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","10.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP (IB) No.113/Chd/HP/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","GPI Textiles Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","17.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP (IB) No.73/Chd/Pb/2017","Chandigarh Bench","Creditor","Operational Creditor","Vendor",NA,"1289995.85","Sham Udyog Ltd.","Not Available","Not Available","Not Available","30.08.2017","26.10.2017","21.11.2017","Admitted","Narender Kumar Sharma",NA,"N","N",NA,NA
"CP (IB) No.72/Chd/Hry/2017","Chandigarh Bench","Creditor","Financial Creditor",NA,"Bank","202887067.1","Vegan Colloids Ltd.","Not Available",NA,NA,"Not Available","13.09.2017","24.11.2017","Admitted","Listed for later date",NA,"N","N",NA,NA
"CP (1B) No.108/Chd/Pb/2017.","Chandigarh Bench","Corporate Debtor",NA,NA,NA,"Not Available","Kochar Overseas Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","16.11.2017","Admitted","Yogender Pal Singhal",NA,"N","N",NA,NA
"CP (IB) No. 98/Chd/CHD/2017","Chandigarh Bench","Corporate Debtor",NA,NA,NA,"686000000","BCL Homes Ltd.","Not Available",NA,NA,"Not Available","Not Available","28.11.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP (IB) No.95/Chd/Hry/2017","Chandigarh Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Sravanthi Infratech Pvt.Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","29.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP/472/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","Not Available","BKR Hotels and Resorts Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","30.05.2017","Admitted","Mr. R. Venkatakrishnan",NA,"N","Y","Corporate Debtor","Rejected"
"CP/474/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"6451618","Southern Polypet Pvt. Ltd.","Not Available","17.02.2017","Not Available","Not Available","Not Available","30.05.2017","Admitted","Delegaed to IBBI",NA,"N","N",NA,NA
"CP/491/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Not Available","2650000","Abhayam Trading Ltd","Not Available","01.04.2017",NA,"Not Available","Not Available","31.05.2017","Admitted","Mr. J. Rakesh Tulsidas Trivedi",NA,"N","N",NA,NA
"CP/506/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Bhash Software Labs Pvt Ltd","Not Available","27.02.2017","Not Available","Not Available","Not Available","01.06.2017","Admitted","Mr. V. Mahesh",NA,"N","Y","Corporate Debtor","Allowed"
"CP/504/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"1978873","Bonton Softwares Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","01.06.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"CP/507(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"248033430","Diamond Engineering (Chennai) Pvt Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","06.06.2017","Admitted","Mr. V. Mahesh",NA,"N","Y","Corporate Debtor","Rejected"
"CP No. 515/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","1050000000","Summer India Textile Mills Pvt Ltd","Not Available",NA,NA,"Not Available","Not Available","13.06.2017","Admitted","Mr. Madhusudhanan",NA,"N","N",NA,NA
"CP No. 478,479 and 480 of 2017","Chennai Bench","Creditor","Operational Creditor","Employee",NA,"52134448(for 478)","Aruna Hotels Ltd","Not Available","24.03.2017","Not Available","Not Available","Not Available","13.06.2017","Admitted","Mr. P. Sriram",NA,"N","Y","Corporate Debtor","Allowed"
"CP/468(IB)/CB/2017","Chennai Bench","Corporate Debtor",NA,NA,NA,"Not Available","Thirupur Surya Hitech Apparel Pvt Ltd","Not Available",NA,NA,"Not Available","Not Available","14.06.2017","Admitted","Mr. Mutharaju",NA,"N","N",NA,NA
"CP/467(IB)/CB/2017","Chennai Bench","Corporate Debtor",NA,NA,NA,"Not Available","Thirupur Surya Textiles Pvt Ltd","Not Available",NA,NA,"Not Available","Not Available","14.06.2017","Admitted","Mr.Mutharaju",NA,"N","N",NA,NA
"CP/508(IB)/CB/2017","Chennai Bench","Corporate Debtor",NA,NA,NA,"Not Available","Ennore Coke Ltd.","Not Available",NA,NA,"Not Available","Not Available","20.06.2017","Admitted","Anil Kumar Birla",NA,"N","N",NA,NA
"CP/505(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Individual Lender","448040","Orien Kuries and Loans Pvt Ltd","Not Available","22.04.2017","26.04.2017","Not Available","Not Available","10.07.2017","Admitted","Mr. Sankar Panicker",NA,"N","N",NA,NA
"CP/477(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"1443246","Borg Energy India Pvt. Ltd.","Not Available","13.03.2017","Not Available","Not Available","Not Available","31.05.2017","Admitted","Referred to IBBI",NA,"N","N",NA,NA
"CP.500(IB)CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"USD 445416","A&A International Trading Pvt. Ltd.","03.02.2016","05.04.2017","Not Available","Not Available","Not Available","16.06.2017","Admitted","Not Available",NA,"N","N",NA,NA
"TCP/50/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"16000421","Laxmi Ganesh textiles Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","25.07.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"CP/482/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Merchem Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","26.07.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/536/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"3099237","Infonet Asia Pvt. Ltd.","Not Available","01.04.2017","Not Available","Not Available","Not Available","02.08.2017","Admitted","Not Available",NA,"N","N",NA,NA
"CP/544/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Nag Leathers Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","04.08.2017","Dismissed",NA,"Non-prosecution","N","N",NA,NA
"CP/546/(IB)CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"2768937+18@interest p.a.","Visuwam Auto Spare Parts Pvt. Ltd.","Not Available","19.04.2017","Not Available","Not Available","Not Available","07.08.2017","Admitted","Not Available",NA,"N","N",NA,NA
"CP/532/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Barath Builders Constructions Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","10.08.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/537/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"4151570.52+251028.18(euro)+arbitral award 87000 USD+ simple interest @3.5% p.a.","Shriram EPC Ltd.","Not Available","05.05.2017","Not Available","Not Available","Not Available","10.08.2017","Admitted","C Ramasubramanian",NA,"N","Y","Corporate Debtor","Allowed"
"CP/540/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Others",NA,"206201053.8","Orchid Pharma Ltd.","Not Available","14.06.2017","Not Available","Not Available","Not Available","17.08.2017","Admitted","Mr. CMA CS Rajasekaran",NA,"N","N",NA,NA
"CP/542/IB/CB/2017","Chennai Bench","Creditor","Operational Creditor","Employee",NA,"8277025 +interest @12% p.a.","Kutty Flush Doors & Furniture Co. Pvt. Ltd.","Not Available","08.06.2017","Not Available","Not Available","Not Available","23.08.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/550/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Effel Exports Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","31.08.2017","Dismissed","Not Available","Settlement","N","N",NA,NA
"CP/551/(IB)/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","129657829.2","Ashok Magnetics ","30.112016",NA,NA,"Not Available","Not Available","04.09.2017","Admitted","Mr. Venkataramanarao Nagarajan",NA,"Y","N",NA,NA
"CP/548/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Naachair Paper Boards Private Limited ","Not Available","Not Available","Not Available","Not Available","Not Available","04.09.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/563/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","392141910","Oceanic Edibles International Limited ","10.08.2013",NA,NA,"Not Available","Not Available","12.09.2017","Admitted","Mr.C. Ramasubramamaniam",NA,"N","N",NA,NA
"CP/564/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","1009430499","Oceanic Tropical Fruits Private Limited ","31.12.2014",NA,NA,"Not Available","Not Available","13.09.2017","Admitted","Mr.C. Ramasubramamaniam",NA,"N","N",NA,NA
"CP/554/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"2512931781","Tamil Nadu Generation and Distribution Company Limited ","Not Available","04.07.2017","05.07.2017","Not Available","Not Available","13.09.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"CP/555/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"1578571585","Tamil Nadu Generation and Distribution Company Limited ","Not Available","04.07.2017","05.07.2017","Not Available","Not Available","13.09.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"CP/556/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"2218880597","Tamil Nadu Generation and Distribution Company Limited ","Not Available","04.07.2017","05.07.2017","Not Available","Not Available","13.09.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"CP/559/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"16936735+18% interest p.a.","Inasra Technologies Private Limited ","12.09.2016","08.05.2017","Not Available","03.07.2017","Not Available","15.09.2017","Admitted","Mr. Karthigeyan Srinivasan ",NA,"N","N",NA,NA
"CP/553/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Assignee","1760066070","Paragon Steel Private Limited ","31.01.2017",NA,NA,"Not Available","Not Available","15.09.2017","Admitted","Mr. R. Venkatakrishnan",NA,"N","N",NA,NA
"CP/552/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Assignee","400541313","SMM Steel Re-Rolling Mills Private Limited ","31.01.2017",NA,NA,"Not Available","Not Available","15.09.2017","Admitted","Mr. R. Venkatakrishnan",NA,"N","N",NA,NA
"CP/560/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Pink City Express Way Private Limited ","Not Available","Not Available","Not Available","Not Available","Not Available","15.09.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/558/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","414746380","Infinitas Energy Solutions Private Limited ","Not Available",NA,NA,"Not Available","Not Available","18.09.2017","Admitted","Mr. R. Venkatakrishnan",NA,"N","Y","Corporate Debtor","Rejected"
"CP/547/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Consolidated Constructions Consortium Limited ","Not Available","Not Available","Not Available","Not Available","Not Available","19.09.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/562/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Barath Building Construction Private Limited ","Not Available","Not Available","Not Available","Not Available","Not Available","20.09.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/573/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Siddarth Merchantile Private Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.09.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/577/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"231552800","Hallmark Living Space Private Limited","Not Available","Not Available","Not Available","Not Available","Not Available","26.09.2017","Admitted","Mr. S. Dhanapal",NA,"N","N",NA,NA
"CP/580/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Tech Sharp Engineers Private Limited ","Not Available","Not Available","Not Available","Not Available","Not Available","27.09.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/568/(IB)CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Corporate Lender","6338457","Vasavi Housing Infrastructure Private Limited ","Not Available",NA,NA,"Not Available","Not Available","27.09.2017","Admitted","Mr. S. Sridhar",NA,"N","N",NA,NA
"CP/570/IB/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Sumangala Steel Private Limited ","Not Available","Not Available","Not Available","Not Available","Not Available","28.09.2017","Dismissed",NA,"Settlement","Y","N",NA,NA
"CA/582/(IB)CB/2017","Chennai Bench","Corporate Debtor",NA,NA,NA,"204933362","Brilliant Alloys Private Limited ","Not Available",NA,NA,"Not Available","Not Available","28.09.2017","Admitted","Mr. Martin S.K. Golla",NA,"N","N",NA,NA
"CP/571/(IB)CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"13596377","RV Steels and Power Pvt Ltd","Not Available","27.03.2017","Not Available","Not Available","Not Available","28.09.2017","Admitted","Referred to IBBI",NA,"N","N",NA,NA
"CP/574/(IB)CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"247052","Pavai Alloys and Steels Private Limited ","14.07.2014","27.03.2017","Not Available","Not Available","Not Available","28.09.2017","Dismissed",NA,"Time Barred","N","N",NA,NA
"CP/525/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Prasanth Properties Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","03.10.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP/575/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"1411565","Al-Ameen Green Energy Pvt. Ltd.","Not Available","10.03.2017","Not Available","Not Available","Not Available","23.10.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Allowed"
"CP/575/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"8456464","Surya Balaji Steels Private Limited","Not Available","27.03.2017","Not Available","Not Available","Not Available","05.10.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"CP/595(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","Not Available","M/s. Deivaanai Sinter Metals Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","11.10.2017","Admitted","Mr. C. Ramasubramaniam",NA,"N","N",NA,NA
"CP/602/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Ashok Magnetics Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","11.10.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP/578/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Sri Ramajayam Spin Tex Pvt Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","16.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/589/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","VGN Property Developers Pvt Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","17.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/561/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Consolidated Construction Consortium Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","17.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/605/(IB)/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","Not Available","Balu Spinning Mills Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","26.10.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP/485/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Not Available","Not Available","Landmark Housing Projects India Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","27.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/588/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","323551748","Summer India Weaving and Processing Mills Private Limited","Not Available",NA,NA,"22.08.2017","Not Available","27.10.2017","Admitted","Shri C. V. Madhusudhanan",NA,"N","N",NA,NA
"CP/543/(IB)/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Bennco Enterprises Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","02.11.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP/543/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Employee",NA,"4841818 + interest","Air Carnival Pvt. Ltd.","Not Available","21.04.2017","Not Available","Not Available","Not Available","02.11.2017","Admitted","Ms. Kavitha Surana",NA,"N","N",NA,NA
"CP/606/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"ARC","610926925","Frontline Printers Pvt. Ltd.","30.10.2012",NA,NA,"Not Available","Not Available","02.11.2017","Admitted","Mr. Balasubramanium T. V.",NA,"N","N",NA,NA
"CP/604/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","134000355.9","NSR Elkemet Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","02.11.2017","Admitted","Mr. V. Mahesh",NA,"N","N",NA,NA
"CP/600/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"2248227","Shri Krishnakanth Textiles Pvt. Ltd.","Not Available","02.08.2017","Not Available","Not Available","Not Available","02.11.2017","Admitted","Mr. S. Muthu Raju",NA,"N","N",NA,NA
"CP/598/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"3030223.2","Golden Prosperous Property Pvt. Ltd.","Not Available","Not Available","Not Available","26.09.2017","Not Available","03.11.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"CP/608/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor",NA,"Bank","30797285.58","Rathna Stores Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","03.11.2017","Admitted","Mr. V. Nagarajan",NA,"N","N",NA,NA
"CP/591/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"656903","V. G. Textiles Pvt. Ltd.","11.05.2015","02.09.2017","07.09.2017","Not Available","Not Available","07.11.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"CP/593/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"845575","Vijay Mahalaxmi Spinning Mills India Pvt. Ltd.","05.08.2014","02.09.2017","07.09.2017","Not Available","Not Available","07.11.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"CP/613/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Shivsu Canadian Clear Waters Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","09.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/615/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Transtroy India Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","10.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP/617/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Cognizant Technology Solutions (I) Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","13.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP/612/(IB)/CB/2017","Chennai Bench","Creditor","Financial Creditor","Not Available","Bank","701024423","Senthil Papers and Boards Pvt. Ltd.","04.10.2017",NA,NA,"Not Available","Not Available","14.11.2017","Admitted","Mr. N. Sivachalam",NA,"N","N",NA,NA
"CP/594/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Dharanii Cotton Mills Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","14.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP/616/(IB)/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"23933935","Sun Paper Mill Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","15.11.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"CP/616/IB/CB/2017","Chennai Bench","Creditor","Operational Creditor","Vendor",NA,"25933935","Sun Paper Mill Ltd.","Not Available","24.05.2017","Not Available","Not Available","Not Available","15.11.2017","Admitted","Delegated to IBBI",NA,"N","Y","Corporate Debtor","Rejected"
