"Case.No.","Bench","Who.filed..Corporate.Debtor...Creditor","Type.of.Creditor...Financial.or.operational","Type.of.Operational.Creditor","Type.of.Financial.Creditor","Amount.of.Debt","Name.of.Corporate.Debtor","Due.Date.for.payment","Date.of.demand.notice","Date.of.receipt.service.of.Demand.Notice","Date.of.filing.in.NCLT","First.date.of.case.listing","Date.of.final.disposal","Admitted.Dismissed","Name.of.Insolvency.Professional","Category.for.reason.for.dismissal","BIFR...Y.N","Appeal...Y.N","Who.appealed.","Outcome.of.appeal"
"CP No. (IB)-117(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"1703797","Valeda Herbals Private Limited ","Not Available","13.02.2017","Not Available","Not Available","31.05.2017","14.07.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"CP No. (IB)-168(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"32154784","Uniforce Energy Systems India Private Limited","Not Available","04.05.2017","Not Available","Not Available","Not Available","14.07.2017","Admitted","Satinder Kapoor",NA,"N","N",NA,NA
"(IB)- 198(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Not Available",NA,"Not Available","Lifeline Services Private Limited","Not Available","Not Available","Not Available","Not Available","Not Available","21.07.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"(IB)- 194(ND)/2017","New Delhi (Bench II)","Creditor","Financial Creditor",NA,"Bank","Not Available","Garg Inox Limited","Not Available","Not Available","Not Available","Not Available","Not Available","25.07.2017","Admitted","Sanjay Gupta",NA,"N","N",NA,NA
"(IB)- 118(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"Not Available","Anu Elastics","Not Available","Not Available","Not Available","Not Available","Not Available","25.07.2017","Admitted","Delegated to IBBI",NA,"N","Y","Corporate Debtor","Allowed"
"(IB)- 192(ND)/2017","New Delhi (Bench II)","Corporate Debtor",NA,NA,NA,"272581173","Tehri Iron Steels Casting Limited ","Not Available",NA,NA,"29.06.2017","Not Available","27.07.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"(IB)- 204(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"2394946","MM Cargo Container Line Private Limited","Not Available","30.06.2017","Not Available","Not Available","Not Available","27.07.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"(IB)- 212(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"1422091","Jap Infratech Private Limited","Not Available","28.02.2017","Not Available","Not Available","Not Available","27.07.2017","Admitted","Delegated to IBBI",NA,"N","Y","Corporate Debtor","Allowed"
"170(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"5263214","Zapp India Limited","Not Available","Not Available","Not Available","Not Available","Not Available","20.07.2017","Admitted","Not Available",NA,"N","N",NA,NA
"198(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Not Available",NA,"960894","Lifeline Services Pvt. Ltd.",NA,NA,NA,NA,NA,"21.07.2017","Dismissed",NA,"Settlement","N","N",NA,NA
