Case.No.,Bench,Who.filed..Corporate.Debtor..Operational.Creditor..Financial.Creditor,Type.of.Creditor..eg..employee..bank..NBFC.etc..,Type.of.operational.Creditor,Type.of.financial.Creditor,Secured..unsecured,Name.of.Corporate.Debtor,Due.Date.for.payment,Date.of.demand.notice,Date.of.receipt.service.of.Demand.Notice,Date.of.filing.in.NCLT,First.date.of.case.listing,Date.of.final.disposal,Evidence.of.debt..What.kind.of.document.,Admitted..dismissed,Name.of.Insolvency.Professional,Category.for.reason.for.dismissal,URL,BIFR.Y.N.,Appeal..Y.No.,Who.appealed.,Appeal.Allowed.Rejected
CP No. (IB)-107(ND)/2017,New Delhi(Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,Shipra Infra Project Private Limited,Not Available,Not Available,Not Available,Not Available,Not Available,01.06.2017,Invoices,Admitted,Mr. Abhishek Anand,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/2.pdf,N,N,NA,NA
CP No. (IB)-106(ND)/2017,New Delhi(Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,A J Casting Private Limited,Not Available,20.02.2017,Not Available,Not Available,Not Available,01.06.2017,Bank statements,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/3.pdf,N,N,NA,NA
CP No. (IB)-113(ND)/2017,New Delhi(Bench II),Creditor,Operational Creditor,Others,NA,Unsecured,Eternity Infracon Private Limited,Not Available,22.03.2017,29.06.2017,Not Available,06.07.2017,12.07.2017,Cheques,Dismissed,NA,Other,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/4.pdf,N,N,NA,NA
CP No. (IB)-166(ND)/2017,New Delhi(Bench II),Creditor,Operational Creditor,Not Available,NA,Not Available,Steren Associates Private Limited ,Not Available,Not Available,Not Available,Not Available,Not Available,12.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/8.pdf,N,N,NA,NA
CP No. (IB)-186(ND)/2017,New Delhi(Bench II),Creditor,Operational Creditor,Not Available,NA,Not Available,NKC Projects Private Limited,Not Available,Not Available,Not Available,Not Available,Not Available,13.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/10.pdf,N,N,NA,NA
CP No. (IB)-117(ND)/2017,New Delhi(Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,Valeda Herbals Private Limited ,Not Available,13.02.2017,Not Available,Not Available,31.05.2017,14.07.2017,Not Available,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/5.pdf,N,N,NA,NA
CP No. (IB)-168(ND)/2017,New Delhi(Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,Uniforce Energy Systems India Private Limited,Not Available,04.05.2017,Not Available,Not Available,Not Available,14.07.2017,Invoices,Admitted,Satinder Kapoor,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/7.pdf,N,N,NA,NA
IB-17 (ND)/17,New Delhi (Bench III),Creditor,Operational Creditor,Not Available,NA,Not Available,Ferrous Infrastructure Private Limited,Not Available,Not Available,Not Available,Not Available,29.06.2017,03.07.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/New_Delhi_Bench_III/2017/Others/68.pdf,N,Y,Creditor,Rejected
IB-163 (ND)/17,New Delhi (Bench III),Creditor,Operational Creditor,Not Available,NA,Not Available,Topline Buildtech (P) Limited,Not Available,Not Available,Not Available,Not Available,28.06.2017,30.06.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/New_Delhi_Bench_III/2017/Others/49.pdf,N,N,NA,NA
IB-162 (ND)/17,New Delhi (Bench III),Creditor,Operational Creditor,Not Available,NA,Not Available,H L Tech Fabrics Limited,Not Available,Not Available,Not Available,Not Available,28.06.2017,29.06.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/New_Delhi_Bench_III/2017/Others/46.pdf,N,N,NA,NA
IB-161 (ND)/17,New Delhi (Bench III),Creditor,Operational Creditor,Not Available,NA,Not Available,Amrapali Infrastructure Private Limited,Not Available,Not Available,Not Available,Not Available,28.06.2017,29.06.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/New_Delhi_Bench_III/2017/Others/45.pdf,N,N,NA,NA
CP No. (IB)-104(PB)/2017,New Delhi(Principal Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,Dr Jain Video On Wheels Limited,11.07.2016,01.02.2017,02.02.2017,Not Available,11.04.2017,25.05.2017,Purchase Orders,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/New_Delhi_Bench_III/2017/Others/42.pdf,N,N,NA,NA
(IB)-47 (ND)/2017,New Delhi(Special Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,Noida Software Technology Park Limited,08.07.2017,01.02.2017,03.02.2017,Not Available,11.04.2017,25.05.2017,Purchase Orders,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/New_Delhi_Bench_III/2017/Others/41.pdf,N,N,NA,NA
C.A. No. (IB) 202(PB)/2017,New Delhi(Principal Bench),Creditor,Financial Creditor,NA,Bank,Not Available,Bhushan Power and Steel Limited,01.02.2016,NA,NA,Not Available,13.07.2017,26.07.2017,Unspecified,Admitted,Mahender Kumar Khandewal,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/68.pdf,N,N,NA,NA
C.A. No. (IB) 201(PB)/2017,New Delhi(Principal Bench),Creditor,Financial Creditor,NA,Bank,Not Available,Bhushan Steel Limited,Not Available,NA,NA,03.07.2017,13.07.2017,26.07.2017,"Sanction Letter, Bankers Letters and Working Capital Consortium ",Admitted,Vijay Kumar V Iyer,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/67.pdf,N,N,NA,NA
(IB)- 170(ND)/2017,New Delhi(Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,Zap India Limited,Not Available,Not Available,Not Available,Not Available,Not Available,20.07.2017,Invoices,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/11.pdf,N,Y, Corporate Debtor,Allowed
(IB)- 198(ND)/2017,New Delhi(Bench II),Creditor,Operational Creditor,Not Available,NA,Unsecured,Lifeline Services Private Limited,Not Available,Not Available,Not Available,Not Available,Not Available,21.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/20.pdf,N,N,NA,NA
(IB)- 194(ND)/2017,New Delhi(Bench II),Creditor,Financial Creditor,NA,Bank,Not Available,Garg Inox Limited,Not Available,Not Available,Not Available,Not Available,Not Available,25.07.2017,Not Available,Admitted,Sanjay Gupta,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/12.pdf,N,N,NA,NA
(IB)- 118(ND)/2017,New Delhi(Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,Anu Elastics,Not Available,Not Available,Not Available,Not Available,Not Available,25.07.2017,Not Available,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/14.pdf,N,Y,Corporate Debtor,Allowed
(IB)- 192(ND)/2017,New Delhi(Bench II),Corporate Debtor,NA,NA,NA,Not Available,Tehri Iron Steels Casting Limited ,Not Available,NA,NA,29.06.2017,Not Available,27.07.2017,Provincial Financial Statements,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/15.pdf,N,N,NA,NA
(IB)- 204(ND)/2017,New Delhi(Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,MM Cargo Container Line Private Limited,Not Available,30.06.2017,Not Available,Not Available,Not Available,27.07.2017,Invoices,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/16.pdf,N,N,NA,NA
(IB)- 212(ND)/2017,New Delhi(Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,Jap Infratech Private Limited,Not Available,28.02.2017,Not Available,Not Available,Not Available,27.07.2017,Invoices ,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/19.pdf,N,Y,Corporate Debtor,Allowed
(IB)144(PB)/2017,New Delhi (Principal Bench),Creditor,Financial Creditor,NA,Bank,Secured,S. R. Foils and Tissue Ltd,31.12.2013,Not Available,Not Available,Not Available,02.06.2017,07.08.2017,"Bank Statement, certificate of registration of charge",Admitted,Mr. Anil Kohli,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/82.pdf,N,N,NA,NA
(IB)-120(PB)/2017,New Delhi (Special Bench),Creditor,Operational Creditor,Vendor,NA,Unsecured,International Coil Ltd.,Not Available,Not Available,Not Available,19.04.2017,31.05.2017,16.08.2017,"Invoice, letter of credit",Admitted,Not Available,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/105.pdf,N,N,NA,NA
CP No-1((IB)185(PB)/2017,New Delhi (Special Bench),Creditor,Financial Creditor,NA,Individual,Unsecured,Mariners Buildcon India Ltd.,25.02.2015,22.05.2017,25.05.2017,Not Available,4.07.2017,24.08.2017,Debtor acknowledgement correspondence,Admitted,Mr. Prabhjit  Singh Soni,NA,http://nclt.gov.in/Publication/Principal_Bench/2017/Others/114.pdf,N,N,NA,NA
CP No. 839/I&BP/NCLT/Mah/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Unsecured,Shirdi Industries Limited,NA,NA,NA,Not Available,Not Available,18.05.2017,Books of accounts,Admitted,Mr.Devendra Padamchand Jain,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/174.pdf,Y,N,NA,NA
CP. No. 1032/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Not Available,Trinity Auto Components Ltd,Not Available,NA,NA,Not Available,Not Available,25.05.2017,Not Available,Admitted,Mr. Laxman Digambar Pawar,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/190.pdf,Y,N,NA,NA
CP. No. 1043/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,NBFC,Not Available,Quantum Limited,31.03.2013,Not Available,Not Available,25.05.2017,29.05.2017,29.05.2017,Not Available,Admitted,Anil Goel,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/189.pdf,N,N,NA,NA
CP. No. 1042/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Not Available,P & S Jewellery Limited,Not Available,Not Available,Not Available,25.05.2017,29.05.2017,29.05.2017,BIFR Order,Admitted,Vipul K Choksi,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/191.pdf,Y,N,NA,NA
CP No. 1036/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Gupta Global Resources Pvt Ltd,Not Available,NA,NA,Not Available,Not Available,05.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/207.pdf,N,N,NA,NA
CP. No. 292/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,ARC,Secured,Bharati Defence and Infrastructure Ltd,Not Available,NA,NA,Not Available,Not Available,06.06.2017,"Declaration of trust, assignment agreement,",Admitted,Mr. Dhinlal Shah,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/196.pdf,N,Y,Corporate Debtor,Rejected
CP No. 722/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,NA,Not Available,Gammon India Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,08.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/239.pdf,N,Y,Creditor,Rejected
CP. No. 1069/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Corporate Lender,Unsecured,Zenith Computers Limited ,17.11.2016,NA,NA,Not Available,09.06.2017,12.06.2017,Not Available,Admitted,Chetan T Shah,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/208.pdf,N,N,NA,NA
CP. No. 1052/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Not Available,Futuristic Offshore Services and Chemical Limited,Not Available,NA,NA,Not Available,06.06.2017,12.06.2017,Loan documents,Admitted,Jayashree Shukla Dasgupta,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/206.pdf,N,N,NA,NA
CP No. 1060/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Larsen & Toubro Limited,Not Available,Not Available,Not Available,Not Available,Not Available,13.06.2017,Not Available,Dismissed,NA,Non-prosecution,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/215.pdf,N,N,NA,NA
CP No. 1056/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Lavasa Corporation Limited,Not Available,Not Available,Not Available,Not Available,Not Available,13.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/346.pdf,N,N,NA,NA
CP No. 254/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Beyond Logistics Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,13.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/324.pdf,N,N,NA,NA
CP No. 1022/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Neelkanth Realtors Pvt Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,13.06.2017,Not Available,Dismissed,NA,Non-prosecution,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/744.pdf,N,N,NA,NA
CP. No. 1073/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Corporate Lender,Not Available,Mindtree Exports Private Limited,13.09.2016,NA,NA,Not Available,Not Available,13.06.2017,Bank statements,Admitted,Subhas Ramachandra Hedge,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/372.pdf,N,Y,Corporate Debtor,Allowed
CP. No. 508/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Others,NA,Unsecured,Dishnet Wireless Limited,26.02.2017,13.01.2017,Not Available,Not Available,03.05.2017,14.06.2017,Lease deed,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/216.pdf,N,Y,Creditor,Rejected
CP. No. 247/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Bank,Secured,Varun Resources Limited,Not Available,NA,NA,Not Available,27.04.2017,14.06.2017,"Sanction letter, amalgamation order",Admitted,Sanjeev Maheshwari,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/354.pdf,N,N,NA,NA
CP. No. 61/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Facility Agent for Debentures,Secured,Lokhandwala Kataria Constructions Private Limited,30.09.2016,NA,NA,Not Available,02.05.2017,15.06.2017,Mortgage documents,Admitted,Dushyant Dave,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/355.pdf,N,Y,Corporate Debtor,Rejected
CP. No. 1027/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Assignee of debt,Secured,Kohinoor CTNL Infrastructure Company Private Limited,31.12.2015,NA,NA,03.05.2017,15.06.2017,16.06.2017,Certificate from financial institute,Admitted,Sripatham Venkatasubhramanium Ramkumar,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/292.pdf,N,N,NA,NA
CP. No. 1053/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Not Available,Amar Remedies Limited,27.12.2012,NA,NA,29.05.2017,15.06.2017,16.06.2017,Sanction Letters,Admitted,Jayashree Shukla Dasgupta,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/291.pdf,Y,N,NA,NA
CP No. 1039/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Hindustan Construction Company Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,16.06.2017,Not Available,Dismissed,NA,Non-prosecution,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/320.pdf,N,N,NA,NA
CP No. 1074/(MAH)/2017,Mumbai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Jyoti Structures Limited,Not Available,Not Available,Not Available,Not Available,Not Available,16.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/321.pdf,N,N,NA ,NA
CP No. 1082/(MAH)/2017,Mumbai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Jyoti Structures Limited,Not Available,Not Available,Not Available,Not Available,Not Available,16.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/343.pdf,N,N,NA,NA
CP No. 893/(MAH)/2017,Mumbai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Pratibha Industries Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,16.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/394.pdf,N,N,NA,NA
CP. No. 1075/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Others,NA,Not Available,Millenium Motors Pvt. LTd.,Not Available,Not Available,Not Available,Not Available,Not Available,19.06.2017,Agreement,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/335.pdf,N,N,NA,NA
CP. No. 1024/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Bank,Secured,Charbhuja Industries Private Limited,18.11.2015,NA,NA,Not Available,19.06.2017,19.06.2017,Security documents,Admitted,Rahul S Kavathekar,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/374.pdf,N,N,NA,NA
CP. No. 1105/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Deep Water Services(India) Limited,09.06.2017,08.05.2017,Not Available,09.06.2017,09.06.2017,20.06.2017,Invoices,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/368.pdf,N,N,NA,NA
CP. No. 1104/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Secured,Antrix Diamond Exports Private Limited,Not Available,NA,NA,13.06.2017,20.06.2017,20.06.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/369.pdf,N,N,NA,NA
CP. No. 1058/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Secured,Unity Infraprojects Limited,30.12.2014,NA,NA,Not Available,20.06.2017,20.06.2017,Sanction Letters,Admitted,Arun Kapoor,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/344.pdf,N,N,NA,NA
CP. No. 594/I&BP/2017,Mumbai Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Unison Engineering and Construction Private Limited,30.12.2015,Not Available,Not Available,Not Available,Not Available,20.06.2017,Charter Party Agreement,Admitted,Delegated to IBBI,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/702.pdf,N,Y,Corporate Debtor,Allowed
CP. No. 1045/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Not Available,Vandhana Udhyog Limited,Not Available,NA,NA,29.05.2017,16.06.2017,21.06.2017,Financial Statements,Admitted,Adesh Kumar Mehta,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/345.pdf,Y,N,NA,NA
CP. No. 1065/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Kinetic Engineering Limited,26.03.2014,03.02.2017,Not Available,Not Available,21.06.2017,21.06.2017,Invoices,Dismissed,NA,Other,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/373.pdf,N,N,NA,NA
CP. No. 849/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Aarti Infra Projects Private Limited,02.11.2016,15.02.2017,18.02.2017,Not Available,15.06.2017,22.06.2017,Purchase Orders,Dismissed,NA,Other,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/359.pdf,N,N,NA,NA
CP. No. 850/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Aarti Infra Projects Private Limited,02.11.2016,15.02.2017,18.02.2017,Not Available,15.06.2017,22.06.2017,Not Available,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/358.pdf,N,N,NA,NA
CP. No. 1103/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Secured,Leo Duct Engineers and Consultants Limited,Not Available,NA,NA,12.06.2017,Not Available,22.06.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/370.pdf,N,Y,Corporate Debtor,Allowed
CP No. 1068/(MAH)/2017,Mumbai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Supreme Infrastructure (I) Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,23.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/507.pdf,N,Y,Creditor,Rejected
CP No. 1096/(MAH)/2017,Mumbai Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,JK Surface Coating Pvt Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,23.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/508.pdf,N,N,NA,NA
CP No. 1096/(MAH)/2017,Mumbai Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Process Construction & Technical Services Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,23.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/510.pdf,N,N,NA,NA
CP. No. 856/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Corporate Lender,Secured,Rasoya Proteins Limited,21.09.2015,NA,NA,Not Available,14.06.2017,27.06.2017,Facility agreement and security documents,Admitted,Rajendra Karanmal Bhuta,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/398.pdf,N,N,NA,NA
CP. No. 1067/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Bank,Secured,Prag Distillery (P) Limited,21.06.2016,NA,NA,Not Available,20.06.2017,27.06.2017,Facility agreement and security documents,Admitted,Dipti Mehta,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/434.pdf,N,N,NA,NA
CP. No. 1055/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Not Available,Roofit Industries Limited,Not Available,NA,NA,21.05.2017,27.06.2017,28.06.2017,Audited financial statements,Admitted,Jitendra Kumar Jain,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/435.pdf,Y,N,NA,NA
CP. No. 1076/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Bank,Not Available,Esskay Motors Private Limited,Not Available,NA,NA,Not Available,29.06.2017,29.06.2017,Loan agreement,Admitted,Rajeev Mannadiar,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/743.pdf,N,N,NA,NA
CP. No. 848/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,J.J. Fabrics Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,30.06.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/520.pdf,N,N,NA,NA
CP No. 1094/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Topworth Urja & Metals Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,30.06.2017,Not Available,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/543.pdf,N,N,NA,NA
CP No. 1109/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Topworth Pipes & Tubes Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,30.06.2017,Not Available,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/545.pdf,N,N,NA,NA
CP No. 1108/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Topworth Steel & Power Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,30.06.2017,Not Available,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/544.pdf,N,N,NA,NA
111/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Hover Automotive India Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,30.06.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/546.pdf,N,N,NA,NA
CP. No. 725/I&BP/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Bank,Secured ,Varun Corporation Limited,Not Available,NA,NA,Not Available,Not Available,30.06.2017,Facility agreement and security documents,Admitted,Prakash Karunashankar Pandya,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/633.pdf,N,N,NA,NA
CP. No. 221/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Baramati Agro Limited,Not Available,Not Available,Not Available,Not Available,30.06.2017,30.06.2017,Income tax notice,Dismissed,NA,Time barred,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/634.pdf,N,Y,Creditor,Allowed
CP. No. 1059/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Partially secured,Schweitzer Systemtek India Private Limited,31.01.2013,NA,NA,05.06.2017,30.06.2017,03.07.2017,Not Available,Admitted,Not Available,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/524.pdf,N,Y,Corporate Debtor,Rejected
CP. No. 727/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Bank,Secured,Paramshakti Steels Limited,26.07.2016,NA,NA,Not Available,Not Available,03.07.2017,Sanction letter and security documents,Admitted,Rajendra K Bhuta,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/583.pdf,N,N,NA,NA
CP No. 1127/(MAH)/2017,Mumbai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Ducon Technologies Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,27.04.2017,03.07.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1847.pdf,N,N,NA,NA
1137/I&BP/2017,Mumbai Bench,Creditor,Financial Creditor,NA,Bank,Secured,Jyoti Structures LTd.,20.06.2017,NA,NA,Not Available,Not Available,04.07.2017,Master Restructuring agreement,Admitted,Vandana Garg,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/587.pdf,N,N,NA,NA
