Case.No.,Bench,Who.filed..Corporate.Debtor..Operational.Creditor..Financial.Creditor,Type.of.Creditor..eg..employee..bank..NBFC.etc..,Type.of.operational.Creditor,Type.of.financial.Creditor,Secured..unsecured,Name.of.Corporate.Debtor,Due.Date.for.payment,Date.of.demand.notice,Date.of.receipt.service.of.Demand.Notice,Date.of.filing.in.NCLT,First.date.of.case.listing,Date.of.final.disposal,Evidence.of.debt..What.kind.of.document.,Admitted..dismissed,Name.of.Insolvency.Professional,Category.for.reason.for.dismissal,URL,BIFR.Y.N.,Appeal..Y.No.,Who.appealed.,Appeal.Allowed.Rejected
CP No. 02/I & BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Kirusa Software Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,27.01.2017,27.01.2017,Invoices,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Kirusa%20Software%20Pvt.%20Ltd..pdf,N,Y,Creditor,Allowed
CP No. 01/I & BP/NCLT/MAH/2016,Mumbai Bench,Creditor,Financial Creditor,NA,Bank,Not Available,Innoventive Industries Ltd.,Not Available,Not Available,Not Available,Not Available,23.01.2017,23.01.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Innoventive%20Industries%20Ltd_1..pdf,N,Y,Corporate Debtor,Rejected
CP No. 03/I & BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Financial Creditor,NA,NBFC,Secured,Bhupen Electronic Limited,Not Available,Not Available,Not Available,Not Available,19.01.2017,19.01.2017,Documents relating to assignment of debt which was already in default before the said assignment,Admitted,Mr. Manish Gupta,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/VIP%20Finvest%20Consultancy%20Pvt.%20Ltd..pdf,N,N,NA,NA
CP No. 01/I & BP/NCLT/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Secured,U.B. Engineering Ltd.,Not Available,NA,NA,Not Available,18.01.2017,18.01.2017,Not Available,Admitted,Mr. Adesh Kumar Mehta,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/U.B.%20Engineering%20Ltd..pdf,N,N,NA,NA
CP No. 01/I & BP/NCLT/MAH/2015,Mumbai Bench,Creditor,Financial Creditor,NA,Bank,Not Available,Innoventive Industries Ltd.,30.11.2016,NA,NA,Not Available,16.01.2017,17.01.2017,Unclear,Admitted,Mr. Dhinal Shah,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Innoventive%20Industries%20Ltd..pdf,N,Y,Corporate Debtor, Rejected
C.P-184/2017,Kolkata Bench,Not Available,Not Available,NA,NA,NA,Mayapur Vastu Private Limited,Not Available,Not Available,Not Available,Not Available,Not Available,17.04.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/Mayapur%20Vastu%20Developments%20Pvt.%20Ltd..pdf,N,N,NA,NA
C.P. No 73/2017,Kolkata Bench,Creditor,Operational Creditor,Employee,NA,Unsecured,Rei Agro Limited,31.08.2016,25.01.2017,Not Available,Not Available,Not Available,27.02.2017,Invoices,Admitted,Mr.Anil Agarwal,NA,http://nclt.gov.in/interim_orders/kolkata_II/27.02.2017/Rei%20Agro%20Limited..pdf,Y,Y,Third Party,Rejected
C.P. No 16/2017,Kolkata Bench,Creditor,Financial Creditor,NA,NBFC,Not Available,Shree Metalinks,Not Available,Not Available,Not Available,Not Available,Not Available,24.02.2017,Not Available,Admitted,S.M. Gupta,NA,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/Shree%20Metalinks%20Ltd.%20&%20Ors..pdf,N,Y,Corporate Debtor,Allowed
C.P. No 83/2017,Kolkata Bench,Corporate Debtor,NA,NA,NA,Not Available,Hindustan Motors Ltd,Not Available,NA,NA,Not Available,Not Available,24.02.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/Hindustan%20Motors%20Ltd..pdf,Y,N,,NA
CA/1/IB/2017,Chennai Bench,Creditor,Operational Creditor,Vendor,NA,Secured,Vasan Healthcare Pvt. Limited,07.12.2015,Not Available,06.01.2017,Not Available,10.04.2017,21.04.2017,Not Available,Admitted,V Mahesh,NA,http://nclt.gov.in/Publication/Chennai_Bench/2017/Others/vasan%20health%20care%20(2).pdf,N, Y,Corporate Debtor,Rejected (Withdrawn)
13/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Express Equipment Rental and Logistic Pvt Ltd,NA,NA,NA,NA,NA,11.05.2017,NA,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/ExpressEquipment.pdf,N,N,NA,NA
11/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,Not Available,Not Available,Anil Ltd.,NA,NA,NA,NA,NA,09.05.2017,NA,Dismissed,NA,Settlement,http://nclt.c2k.in/OtherNCLT/Publication/Ahmedabad_Bench/2017/Others/18.pdf,N,N,NA,NA
12/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,NA,DCW Ltd.,Not Available,NA,NA,NA,NA,08.05.2017,NA,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Final%20Thyssenkrupp%20Industries%20Solution%20(India)%20Pvt.%20Ltd.%20v.%20DCW%20Ltd..pdf,N,N,NA,NA
10/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,STI India Ltd.,Not Available,19.04.2017,Not Available,24.04.2017,28.04.2017,05.05.2017,Invoice,Dismissed,NA,Other,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Final%20Order%20Gujarat%20State%20Cooperative%20Cotton%20Federation%20Ltd.%20Vs.%20STI%20India%20Ltd.(IB).pdf,Y,N,NA,NA
5/7/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Financial Creditor,NA,NBFC,Unsecured,Steel Konnect (India) Pvt. Ltd.,NA,NA,NA,Not Available,Not Available,19.04.2017,Master Facility Agreement - Personal Guarantee - Sanction Letter - Hypothecation Deed,Admitted,Mr. Ritu Rastogi,NA,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/FINAL%20Hero%20Fincorp%20Ltd.%20v.%20Steel%20Konnect%20(India)%20Pvt.%20Ltd..pdf,Yes,Y,Creditor,Rejected
6/9/NCLT/AHM/2017,Ahmedabad Bench,Creditor,Operational Creditor,Not Available,NA,NA,Alok Industries Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,17.04.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Ahmedabad_Bench/2017/Others/Arun%20Structurals%20And%20Engineers%20Pvt.%20Ltd.%20v.%20Alok%20Industries%20Ltd..pdf,N,N,NA,NA
